Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Digital Rewards,Firefox 96.0,,,2022-02-02 13:06:42,2022-02-02 13:07:53,1m - 10.275s,PASSED
,,,,,,,
Test Cases/Universal/Tc-3 Verify the Digital rewards on reward page,Firefox 96.0,Verify the reward on the reward page,,2022-02-02 13:06:43,2022-02-02 13:07:53,1m - 10.025s,PASSED
"callTestCase(findTestCase(""Universal/Login/TC-3 Login with Director""), [""Email"":""test3004@yopmail.com"", ""Pswrd"":""3tl@testing""], CONTINUE_ON_FAILURE)",Firefox 96.0,,,2022-02-02 13:06:43,2022-02-02 13:07:26,42.670s,PASSED
delay(5),Firefox 96.0,,,2022-02-02 13:07:26,2022-02-02 13:07:31,5.002s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/a_Rewards""))",Firefox 96.0,,,2022-02-02 13:07:31,2022-02-02 13:07:31,0.377s,PASSED
"scrollToElement(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/div_Show All""), 0, STOP_ON_FAILURE)",Firefox 96.0,,,2022-02-02 13:07:31,2022-02-02 13:07:31,0.092s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/div_Show All""))",Firefox 96.0,,,2022-02-02 13:07:31,2022-02-02 13:07:33,1.421s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/span_Digital""))",Firefox 96.0,,,2022-02-02 13:07:33,2022-02-02 13:07:33,0.767s,PASSED
"scrollToPosition(999, 999, STOP_ON_FAILURE)",Firefox 96.0,,,2022-02-02 13:07:33,2022-02-02 13:07:34,0.195s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/div_1K PointsBeethovens Big BreakDigital Mo_cf5511""))",Firefox 96.0,,,2022-02-02 13:07:34,2022-02-02 13:07:34,0.539s,PASSED
takeScreenshot(),Firefox 96.0,,,2022-02-02 13:07:34,2022-02-02 13:07:34,0.184s,PASSED
delay(3),Firefox 96.0,,,2022-02-02 13:07:34,2022-02-02 13:07:37,3.002s,PASSED
"if (verifyTextPresent(Title, true, OPTIONAL))",Firefox 96.0,,,2022-02-02 13:07:37,2022-02-02 13:07:52,14.855s,PASSED
closeBrowser(),Firefox 96.0,,,2022-02-02 13:07:52,2022-02-02 13:07:53,0.540s,PASSED
