Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Digital Rewards,Firefox 96.0,,,2022-02-11 16:21:51,2022-02-11 16:22:44,53.351s,PASSED
,,,,,,,
Test Cases/Universal/Tc-3 Verify the Digital rewards on reward page,Firefox 96.0,Verify the reward on the reward page,,2022-02-11 16:21:51,2022-02-11 16:22:44,53.117s,PASSED
"callTestCase(findTestCase(""Universal/Login/TC-3 Login with Director""), [""Email"":""test3004@yopmail.com"", ""Pswrd"":""3tl@testing""], CONTINUE_ON_FAILURE)",Firefox 96.0,,,2022-02-11 16:21:51,2022-02-11 16:22:19,27.870s,PASSED
delay(5),Firefox 96.0,,,2022-02-11 16:22:19,2022-02-11 16:22:24,5.003s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/a_Rewards""))",Firefox 96.0,,,2022-02-11 16:22:24,2022-02-11 16:22:25,0.342s,PASSED
"scrollToElement(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/div_Show All""), 0, STOP_ON_FAILURE)",Firefox 96.0,,,2022-02-11 16:22:25,2022-02-11 16:22:25,0.166s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/div_Show All""))",Firefox 96.0,,,2022-02-11 16:22:25,2022-02-11 16:22:26,1.324s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/span_Digital""))",Firefox 96.0,,,2022-02-11 16:22:26,2022-02-11 16:22:27,0.555s,PASSED
"scrollToPosition(999, 999, STOP_ON_FAILURE)",Firefox 96.0,,,2022-02-11 16:22:27,2022-02-11 16:22:27,0.020s,PASSED
"click(findTestObject(""Object Repository/Reward page/Page_Universal All-Access Rewards  Get Rewa_700d57/div_1K PointsBeethovens Big BreakDigital Mo_cf5511""))",Firefox 96.0,,,2022-02-11 16:22:27,2022-02-11 16:22:27,0.633s,PASSED
delay(3),Firefox 96.0,,,2022-02-11 16:22:27,2022-02-11 16:22:30,3.003s,PASSED
"if (verifyTextPresent(Title, true, OPTIONAL))",Firefox 96.0,,,2022-02-11 16:22:30,2022-02-11 16:22:44,13.224s,PASSED
closeBrowser(),Firefox 96.0,,,2022-02-11 16:22:44,2022-02-11 16:22:44,0.545s,PASSED
